"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+9.98399199600E+007, +4.98710914551E+001, -1.19214349769E-002
+1.00090020010E+008, +4.98389778796E+001, -2.61145091787E-002
+1.00340120060E+008, +4.97944600655E+001, -4.31021812923E-002
+1.00590220110E+008, +4.97410652589E+001, -6.06783514858E-002
+1.00840320160E+008, +4.96909751552E+001, -6.41295973140E-002
+1.01090420210E+008, +4.96612965086E+001, -9.28948737540E-002
+1.01340520260E+008, +4.96173251181E+001, -8.16718973198E-002
+1.01590620310E+008, +4.95644254625E+001, -8.93145919228E-002
+1.01840720360E+008, +4.95212226163E+001, -1.01972792521E-001
+1.02090820410E+008, +4.94775700682E+001, -1.02042506288E-001
+1.02340920460E+008, +4.94312283801E+001, -1.09206702802E-001
+1.02591020510E+008, +4.93874861000E+001, -1.13553381677E-001
+1.02841120560E+008, +4.93527231940E+001, -1.02764972126E-001
+1.03091220610E+008, +4.93032313279E+001, -1.07195550322E-001
+1.03341320660E+008, +4.92527080078E+001, -1.08069839915E-001
+1.03591420710E+008, +4.92253484896E+001, -1.06752214501E-001
+1.03841520760E+008, +4.91777056362E+001, -9.90912528086E-002
+1.04091620810E+008, +4.91479884085E+001, -9.54512644763E-002
+1.04341720860E+008, +4.91106927861E+001, -7.69583412233E-002
