"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+6.15746123062E+007, +1.05224001491E+001, +3.89350970819E+000
+6.18247123562E+007, +1.16058854631E+001, +5.59339593307E+000
+6.20748124062E+007, +1.27718280884E+001, +7.14669389722E+000
+6.23249124562E+007, +1.39828350344E+001, +8.56155663113E+000
+6.25750125063E+007, +1.52341215249E+001, +9.83925472561E+000
+6.28251125563E+007, +1.65086652354E+001, +1.09758153473E+001
+6.30752126063E+007, +1.77895825952E+001, +1.20050248582E+001
+6.33253126563E+007, +1.90788716678E+001, +1.29111486527E+001
+6.35754127064E+007, +2.03561424141E+001, +1.36952980789E+001
+6.38255127564E+007, +2.16090680543E+001, +1.43975195365E+001
+6.40756128064E+007, +2.28568916848E+001, +1.50014001383E+001
+6.43257128564E+007, +2.40670823910E+001, +1.55028013449E+001
+6.45758129065E+007, +2.52614392350E+001, +1.59480270787E+001
+6.48259129565E+007, +2.64144733094E+001, +1.63141902103E+001
+6.50760130065E+007, +2.75197938129E+001, +1.66109667026E+001
+6.53261130565E+007, +2.86110422755E+001, +1.68502034730E+001
+6.55762131066E+007, +2.96456699835E+001, +1.70348463780E+001
+6.58263131566E+007, +3.06697986217E+001, +1.71497842911E+001
+6.60764132066E+007, +3.16410909523E+001, +1.72520975731E+001
+6.63265132566E+007, +3.25700208286E+001, +1.73120603738E+001
+6.65766133067E+007, +3.34716739186E+001, +1.73314118880E+001
+6.68267133567E+007, +3.43259503475E+001, +1.73195332343E+001
+6.70768134067E+007, +3.51487803127E+001, +1.72798913313E+001
+6.73269134567E+007, +3.59553539656E+001, +1.72175171025E+001
+6.75770135068E+007, +3.67135415365E+001, +1.71381410512E+001
+6.78271135568E+007, +3.74440652627E+001, +1.70225488473E+001
+6.80772136068E+007, +3.81461695286E+001, +1.69023258938E+001
+6.83273136568E+007, +3.88189015656E+001, +1.67644152521E+001
+6.85774137069E+007, +3.94607938898E+001, +1.66099912159E+001
+6.88275137569E+007, +4.00805240811E+001, +1.64496675791E+001
+6.90776138069E+007, +4.06662895819E+001, +1.62723346604E+001
+6.93277138569E+007, +4.12282919811E+001, +1.60925858844E+001
+6.95778139070E+007, +4.17703598736E+001, +1.59016529185E+001
+6.98279139570E+007, +4.22910065111E+001, +1.57011224320E+001
+7.00780140070E+007, +4.27844832254E+001, +1.54821807293E+001
+7.03281140570E+007, +4.32488692687E+001, +1.52793096108E+001
+7.05782141071E+007, +4.36951572407E+001, +1.50688546477E+001
+7.08283141571E+007, +4.41328593117E+001, +1.48479437946E+001
+7.10784142071E+007, +4.45431117445E+001, +1.46216549565E+001
+7.13285142571E+007, +4.49375998773E+001, +1.44073744973E+001
+7.15786143072E+007, +4.53146317399E+001, +1.41820195941E+001
+7.18287143572E+007, +4.56717851215E+001, +1.39589363591E+001
+7.20788144072E+007, +4.60172218390E+001, +1.37425217700E+001
+7.23289144572E+007, +4.63477077402E+001, +1.35146332948E+001
+7.25790145073E+007, +4.66634915485E+001, +1.32842311970E+001
+7.28291145573E+007, +4.69666944664E+001, +1.30665032701E+001
+7.30792146073E+007, +4.72646541929E+001, +1.28390971243E+001
+7.33293146573E+007, +4.75309633143E+001, +1.26224173275E+001
+7.35794147074E+007, +4.78025066871E+001, +1.23942964658E+001
+7.38295147574E+007, +4.80586820995E+001, +1.21732762904E+001
+7.40796148074E+007, +4.83008356110E+001, +1.19563224503E+001
+7.43297148574E+007, +4.85391898786E+001, +1.17290465575E+001
+7.45798149075E+007, +4.87522090195E+001, +1.15189089576E+001
+7.48299149575E+007, +4.89772999485E+001, +1.13124082661E+001
+7.50800150075E+007, +4.91718463811E+001, +1.10882082705E+001
+7.53301150575E+007, +4.93724397371E+001, +1.08682855016E+001
+7.55802151076E+007, +4.95612870854E+001, +1.06619295841E+001
+7.58303151576E+007, +4.97450188174E+001, +1.04567097263E+001
+7.60804152076E+007, +4.99203602965E+001, +1.02464062650E+001
+7.63305152576E+007, +5.00792087435E+001, +1.00369684392E+001
+7.65806153077E+007, +5.02369630934E+001, +9.83009123659E+000
+7.68307153577E+007, +5.03851418023E+001, +9.62365432696E+000
+7.70808154077E+007, +5.05217566010E+001, +9.42102935485E+000
+7.73309154577E+007, +5.06583924054E+001, +9.21991458456E+000
+7.75810155078E+007, +5.07845395245E+001, +9.02952664124E+000
+7.78311155578E+007, +5.09113647590E+001, +8.83778922099E+000
+7.80812156078E+007, +5.10151448425E+001, +8.63813786432E+000
+7.83313156578E+007, +5.11181967533E+001, +8.45224519299E+000
+7.85814157079E+007, +5.12234997417E+001, +8.26360546249E+000
+7.88315157579E+007, +5.13203361789E+001, +8.07573530269E+000
